Tag,Tag Occurrences,Avg. Searches (USA),Avg. Clicks  (USA),Avg. CTR  (USA),Etsy Competition (USA),Keyword Difficulty (USA),Google Searches
"celestial pattern","1","< 20","Unknown","Unknown","26,849","100","0"
"christmas bow","1","54","77","143%","347,042","100","0"
"christmas bundle","1","298","385","129%","259,140","100","210"
"christmas character","1","< 20","Unknown","Unknown","98,725","100","0"
"christmas embroidery","1","618","574","93%","351,284","100","1,000"
"christmas floral pdf","1","< 20","Unknown","Unknown","Unknown","","0"
"christmas flower","1","< 20","< 20","33%","401,382","100","0"
"christmas gift set","1","330","345","105%","379,614","100","0"
"christmas heirloom","1","Unknown","Unknown","Unknown","28,922","","0"
"christmas hoop art","1","Unknown","Unknown","Unknown","10,756","","0"
"christmas house","1","< 20","< 20","< 20%","258,855","100","12,100"
"christmas ornament","1","9,166","12,245","134%","2,050,300","100","110,000"
"christmas pdf bundle","1","Unknown","Unknown","Unknown","9,317","","0"
"christmas penguin","1","< 20","< 20","78%","47,485","100","2,900"
"christmas snowman","1","< 20","< 20","64%","326,530","100","2,900"
"christmas tree art","1","102","97","95%","447,378","100","2,400"
"christmas tree globe","1","Unknown","Unknown","Unknown","5,275","","0"
"christmas tree pdf","1","Unknown","Unknown","Unknown","28,050","","0"
"christmas village","1","1,224","1,545","126%","77,006","90","60,500"
"christmas wall art","1","2,298","2,676","116%","1,809,828","100","6,600"
"circle geometry","1","Unknown","Unknown","Unknown","2,901","","0"
"circle ornament","1","< 20","Unknown","Unknown","18,047","100","0"
"circle wall decor","1","38","52","137%","93,759","100","0"
"classic christmas","1","95","93","98%","185,555","100","8,100"
"classic holiday set","1","Unknown","Unknown","Unknown","Unknown","","0"
"coconut soy candle","1","Unknown","Unknown","Unknown","25,175","","0"
"cottage stitching","1","Unknown","Unknown","Unknown","Unknown","","0"
"cottagecore pattern","1","28","Unknown","Unknown","51,115","100","0"
"cottagecore pin","1","< 20","Unknown","Unknown","5,752","100","0"
"cottagecore tee","1","< 20","< 20","67%","96,637","100","0"
"cozy christmas home","1","Unknown","Unknown","Unknown","212,587","","0"
"cozy craft gift","1","Unknown","Unknown","Unknown","27,670","","0"
"cozy craft night","1","Unknown","Unknown","Unknown","Unknown","","0"
"cozy december craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"cozy fall candle","1","< 20","Unknown","Unknown","14,713","100","0"
"cozy fall craft","1","Unknown","Unknown","Unknown","40,234","","0"
"cozy hobbies pin","1","Unknown","Unknown","Unknown","Unknown","","0"
"cozy home gift","1","Unknown","Unknown","Unknown","451,712","","0"
"crackling candle","1","< 20","Unknown","Unknown","2,165","100","0"
"craft fair pin","1","Unknown","Unknown","Unknown","Unknown","","0"
"craft pattern pdf","3","Unknown","Unknown","Unknown","921,039","","0"
"crochet lover pin","1","Unknown","Unknown","Unknown","198","","0"
"crochet lover tee","1","Unknown","Unknown","Unknown","4,645","","0"
"cross stitch designs","1","< 20","< 20","< 20%","42,513","100","0"
"custom christmas pdf","1","Unknown","Unknown","Unknown","5,044","","0"
"custom family gift","1","214","214","100%","674,362","100","0"
"custom home gift","1","< 20","Unknown","Unknown","2,748,301","100","0"
"custom penguin gift","1","Unknown","Unknown","Unknown","5,230","","0"
"custom snow globe","1","126","128","102%","4,256","76","0"
"custom text globe","1","Unknown","Unknown","Unknown","Unknown","","0"
"custom text pattern","1","Unknown","Unknown","Unknown","2,774","","0"
"cute penguin art","1","Unknown","Unknown","Unknown","11,134","","0"
"december stitching","1","Unknown","Unknown","Unknown","1,364","","0"
"decorative pattern","1","Unknown","Unknown","Unknown","97,254","","0"
"denim jacket pin","1","Unknown","Unknown","Unknown","1,694","","0"
"detailed botanical","1","Unknown","Unknown","Unknown","1,951","","0"
"detailed mandala","1","Unknown","Unknown","Unknown","1,634","","0"
"diamond pattern","1","< 20","Unknown","Unknown","51,579","100","0"
"diamond wreath","1","Unknown","Unknown","Unknown","2,069","","0"
"digital pattern","3","211","299","142%","1,645,527","100","0"
"digital product","2","6,246","7,978","128%","156,843","70","8,100"
"digital products","2","31,237","40,034","128%","156,839","35","8,100"
"diy embroidery","1","< 20","Unknown","Unknown","143,767","100","0"
"dorm decor diy","1","Unknown","Unknown","Unknown","Unknown","","0"
"easy embroidery","2","< 20","Unknown","Unknown","95,636","100","720"
"easy embroidery pdf","3","Unknown","Unknown","Unknown","57,911","","0"
"easy line pattern","1","Unknown","Unknown","Unknown","Unknown","","0"
"easy wreath design","1","Unknown","Unknown","Unknown","Unknown","","0"
"embroidery designs","6","7,082","7,772","110%","248,390","77","27,100"
"embroidery drawing","1","Unknown","Unknown","Unknown","40,279","","0"
"embroidery gift","2","< 20","Unknown","Unknown","505,731","100","0"
"embroidery hoop","3","196","271","138%","162,947","100","27,100"
"embroidery pattern","4","2,555","2,919","114%","1,214,149","100","12,100"
"embroidery pdf","1","< 20","< 20","< 20%","331,713","100","50"
"embroidery set","1","< 20","Unknown","Unknown","71,127","100","0"
"embroidery template","2","93","126","135%","72,304","100","1,000"
"engraved ornament","1","127","132","104%","50,244","100","1,000"
"evening unwind","1","Unknown","Unknown","Unknown","49","","0"
"evergreen pattern","1","< 20","Unknown","Unknown","2,070","100","20"
"fall decor diy","1","Unknown","Unknown","Unknown","26,302","","0"
"fall embroidery","1","124","125","101%","82,506","100","210"
"fall hoop art","1","Unknown","Unknown","Unknown","1,410","","0"
"fall leaves art","1","< 20","Unknown","Unknown","94,741","100","390"
"fall leaves pattern","1","< 20","Unknown","Unknown","25,947","100","0"
"fall wreath diy","1","Unknown","Unknown","Unknown","3,571","","0"
"family name gift","1","< 20","Unknown","Unknown","290,918","100","0"
"family ornament","1","1,701","2,362","139%","304,449","100","2,900"
"family photo gift","1","< 20","< 20","< 20%","120,772","100","0"
"fan embroidery","1","Unknown","Unknown","Unknown","9,437","","0"
"fan hoop pattern","1","Unknown","Unknown","Unknown","Unknown","","0"
"festive embroidery","1","Unknown","Unknown","Unknown","39,557","","0"
"festive floral","1","Unknown","Unknown","Unknown","16,795","","0"
"festive pattern set","1","Unknown","Unknown","Unknown","2,351","","0"
"festive wall decor","1","Unknown","Unknown","Unknown","163,767","","0"
"firecracker design","1","Unknown","Unknown","Unknown","1,103","","0"
"fireside craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"first home keepsake","1","< 20","Unknown","Unknown","99,312","100","0"
"floral hoop art","1","Unknown","Unknown","Unknown","15,358","","0"
"floral pattern","1","< 20","< 20","78%","472,934","100","0"
"floral rosette","1","Unknown","Unknown","Unknown","4,920","","0"
"flower bud stitching","1","Unknown","Unknown","Unknown","Unknown","","0"
"flower hoop art","1","Unknown","Unknown","Unknown","9,784","","0"
"flower pattern pdf","1","Unknown","Unknown","Unknown","78,156","","0"
"focus craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"folk art embroidery","1","< 20","< 20","< 20%","11,224","100","110"
"folk art flowers","1","< 20","Unknown","Unknown","33,122","100","1,300"
"folk botanical","1","< 20","Unknown","Unknown","6,948","100","10"
"folk floral","1","< 20","Unknown","Unknown","37,619","100","0"
"folk flower design","1","Unknown","Unknown","Unknown","5,115","","0"
"folk hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"folk hoop design","1","Unknown","Unknown","Unknown","Unknown","","0"
"folk leaf circle","1","Unknown","Unknown","Unknown","Unknown","","0"
"folk leaf design","1","Unknown","Unknown","Unknown","Unknown","","0"
"for beginners","2","Unknown","Unknown","Unknown","312,880","","0"
"frosted glass candle","1","< 20","Unknown","Unknown","6,946","100","0"
"funny badge","1","43","63","147%","68,945","100","0"
"funny candle","1","403","451","112%","130,039","100","1,900"
"funny gift for her","1","< 20","Unknown","Unknown","727,577","100","0"
"funny gift for mom","1","< 20","< 20","25%","683,092","100","0"
"funny gift under 10","1","Unknown","Unknown","Unknown","4,361","","0"
"funny grandma shirt","1","< 20","Unknown","Unknown","41,590","100","0"
"funny pin button","1","< 20","Unknown","Unknown","Unknown","","0"
"gardening shirt","1","654","668","102%","51,805","95","390"
"geometric hoop art","1","Unknown","Unknown","Unknown","3,944","","0"
"geometric leaves","1","Unknown","Unknown","Unknown","32,458","","0"
"geometric mandala","1","< 20","Unknown","Unknown","27,460","100","0"
"geometric pattern","1","< 20","< 20","< 20%","201,522","100","3,600"
"geometric rosette","1","Unknown","Unknown","Unknown","219","","0"
"geometric wheel","1","Unknown","Unknown","Unknown","Unknown","","0"
"geometric wreath","1","< 20","Unknown","Unknown","6,616","100","0"
"gift for crafter","1","< 20","Unknown","Unknown","4,694,236","100","0"
"gift for knitter","1","< 20","Unknown","Unknown","28,907","100","0"
"girlfriend gift","1","935","1,139","122%","523,308","100","3,600"
"grandma hobbies","1","< 20","< 20","25%","13,334","100","1,300"
"grandma hobbies pin","1","< 20","Unknown","Unknown","Unknown","","0"
"grandma hobby candle","1","Unknown","Unknown","Unknown","Unknown","","0"
"grandma hobby gift","1","Unknown","Unknown","Unknown","Unknown","","0"
"granny core","1","< 20","Unknown","Unknown","10,766","100","0"
"granny core decor","1","< 20","Unknown","Unknown","2,780","100","390"
"granny hobbies decor","1","Unknown","Unknown","Unknown","Unknown","","0"
"granny hobbies tee","1","Unknown","Unknown","Unknown","Unknown","","0"
"greenery embroidery","1","< 20","Unknown","Unknown","1,076","100","0"
"hand drawn pattern","1","< 20","Unknown","Unknown","48,407","100","140"
"hand embroidery","2","564","570","101%","183,497","100","6,600"
"hand needlework","4","Unknown","Unknown","Unknown","10,489","","0"
"hand poured candle","1","< 20","Unknown","Unknown","57,350","100","0"
"handmade christmas","1","< 20","< 20","< 20%","900,724","100","0"
"handmade gift craft","1","< 20","Unknown","Unknown","249,752","100","0"
"healing art project","1","Unknown","Unknown","Unknown","401","","0"
"heart ornament","1","106","103","97%","73,383","100","0"
"hobby pin button","1","Unknown","Unknown","Unknown","436","","0"
"hobby shirt women","1","Unknown","Unknown","Unknown","Unknown","","0"
"holiday botanical","1","Unknown","Unknown","Unknown","13,462","","0"
"holiday craft pdf","1","< 20","Unknown","Unknown","48,756","100","0"
"holiday embroidery","1","< 20","< 20","33%","142,600","100","40"
"holiday flower art","1","Unknown","Unknown","Unknown","41,050","","0"
"holiday gift diy","1","Unknown","Unknown","Unknown","60,503","","0"
"holiday hoop art","1","Unknown","Unknown","Unknown","2,236","","0"
"holiday pattern set","1","Unknown","Unknown","Unknown","11,275","","0"
"holiday stitching","1","Unknown","Unknown","Unknown","44,911","","0"
"holiday wall decor","1","< 20","Unknown","Unknown","809,445","100","0"
"holiday wall set","1","Unknown","Unknown","Unknown","25,225","","0"
"holly embroidery","1","< 20","Unknown","Unknown","9,902","100","0"
"hoop art pattern","1","Unknown","Unknown","Unknown","30,842","","0"
"hoop embroidery","4","< 20","Unknown","Unknown","159,516","100","0"
"hoop wall art","1","< 20","< 20","130%","20,934","100","0"
"hoop wall hanging","1","Unknown","Unknown","Unknown","5,486","","0"
"house embroidery","1","98","93","95%","31,171","100","0"
"housewarming gift","1","13,596","15,407","113%","1,468,837","100","60,500"
"hygge home decor","1","< 20","Unknown","Unknown","17,784","100","0"
"hygge stitching","1","Unknown","Unknown","Unknown","Unknown","","0"
"instant download","2","440","643","146%","3,673,189","100","0"
"intermediate design","1","Unknown","Unknown","Unknown","1,577","","0"
"intermediate pattern","1","Unknown","Unknown","Unknown","14,233","","0"
"keepsake embroidery","1","Unknown","Unknown","Unknown","6,395","","0"
"keepsake gift","1","< 20","< 20","< 20%","962,052","100","720"
"keepsake hoop art","1","Unknown","Unknown","Unknown","209","","0"
"kids christmas craft","1","96","93","97%","1,054,195","100","0"
"knitter candle gift","1","Unknown","Unknown","Unknown","259","","0"
"knitting lover gift","1","< 20","Unknown","Unknown","16,369","100","0"
"knitting pin","1","< 20","Unknown","Unknown","10,119","100","0"
"lapel pin women","1","< 20","Unknown","Unknown","18,728","100","880"
"leaf and berry","1","Unknown","Unknown","Unknown","15,400","","0"
"leaf circle pattern","1","Unknown","Unknown","Unknown","Unknown","","0"
"leaf embroidery","2","< 20","Unknown","Unknown","33,210","100","0"
"leaf fan","1","Unknown","Unknown","Unknown","3,709","","0"
"leaf fan hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"leaf hoop art","1","Unknown","Unknown","Unknown","1,538","","0"
"leaf pattern pdf","2","Unknown","Unknown","Unknown","11,894","","0"
"leaf ring design","1","Unknown","Unknown","Unknown","5,478","","0"
"leaf rosette","1","Unknown","Unknown","Unknown","Unknown","","0"
"leaf rosette pdf","1","Unknown","Unknown","Unknown","Unknown","","0"
"leaf star design","1","Unknown","Unknown","Unknown","Unknown","","0"
"leafy wreath design","1","Unknown","Unknown","Unknown","Unknown","","0"
"let it snow craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"line art embroidery","1","< 20","Unknown","Unknown","10,848","100","0"
"line art portrait","1","< 20","< 20","< 20%","42,443","100","0"
"linen embroidery","1","< 20","Unknown","Unknown","52,740","100","0"
"mandala embroidery","1","< 20","Unknown","Unknown","6,606","100","0"
"mandala hoop art","1","Unknown","Unknown","Unknown","1,000","","0"
"matching hoop set","1","Unknown","Unknown","Unknown","Unknown","","0"
"medieval needlework","1","Unknown","Unknown","Unknown","479","","0"
"meditation pattern","1","Unknown","Unknown","Unknown","6,056","","0"
"meditative craft","1","< 20","Unknown","Unknown","1,181","100","0"
"meme candle","1","Unknown","Unknown","Unknown","1,296","","0"
"meme pin button","1","Unknown","Unknown","Unknown","Unknown","","0"
"meme shirt women","1","Unknown","Unknown","Unknown","130,203","","0"
"mindful stitching","1","< 20","Unknown","Unknown","2,472","100","0"
"minimal embroidery","1","Unknown","Unknown","Unknown","5,532","","0"
"minimalist pattern","1","< 20","Unknown","Unknown","56,585","100","0"
"modern embroidery","1","< 20","< 20","< 20%","158,741","100","0"
"modern hand pattern","1","Unknown","Unknown","Unknown","Unknown","","0"
"modern leaf art","1","Unknown","Unknown","Unknown","29,454","","0"
"modern minimalist","1","Unknown","Unknown","Unknown","741,267","","0"
"modern needlework","4","Unknown","Unknown","Unknown","8,946","","0"
"modern wreath","1","< 20","Unknown","Unknown","18,225","100","0"
"name embroidery","1","< 20","Unknown","Unknown","50,602","100","0"
"nature circle art","1","Unknown","Unknown","Unknown","4,957","","0"
"nature embroidery","1","< 20","Unknown","Unknown","50,352","100","0"
"nature wreath","1","Unknown","Unknown","Unknown","7,682","","0"
"navy embroidery","1","< 20","Unknown","Unknown","24,391","100","0"
"needlework pattern","5","< 20","Unknown","Unknown","61,160","100","0"
"new home christmas","1","< 20","Unknown","Unknown","363,348","100","0"
"nordic embroidery","1","< 20","Unknown","Unknown","2,525","100","0"
"nordic folk design","1","Unknown","Unknown","Unknown","1,773","","0"
"nutcracker","1","2,890","3,199","111%","101,565","77","201,000"
"nutcracker decor","1","123","128","104%","45,067","100","4,400"
"nutcracker gift","1","188","227","121%","35,448","100","1,300"
"nutcracker hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"nutcracker pattern","1","< 20","< 20","< 20%","7,392","100","140"
"o christmas tree","1","< 20","Unknown","Unknown","5,058","100","0"
"olive green pin","1","Unknown","Unknown","Unknown","921","","0"
"organic pattern","1","< 20","Unknown","Unknown","21,070","100","0"
"ornate floral","1","Unknown","Unknown","Unknown","17,744","","0"
"ornate star pattern","1","Unknown","Unknown","Unknown","Unknown","","0"
"pattern bundle","1","< 20","Unknown","Unknown","201,046","100","0"
"pdf download","1","71","< 20","< 20%","1,294,194","100","9,900"
"pdf pattern","2","< 20","Unknown","Unknown","1,236,972","100","0"
"penguin embroidery","1","< 20","Unknown","Unknown","5,048","100","0"
"penguin hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"penguin lover gift","1","< 20","Unknown","Unknown","7,690","100","0"
"penguin pattern","1","< 20","Unknown","Unknown","12,271","100","0"
"penguin snow globe","1","< 20","Unknown","Unknown","483","100","0"
"penguin wall art","1","< 20","< 20","< 20%","16,359","100","110"
"personalized gift","1","41,355","47,129","114%","5,573,446","100","110,000"
"personalized home","1","7,375","6,400","87%","3,301,344","100","170"
"personalized penguin","1","118","171","145%","7,399","90","0"
"personalized snowman","1","< 20","< 20","100%","27,975","100","0"
"personalized tree","1","Unknown","Unknown","Unknown","287,463","","0"
"pet ornament","1","1,193","1,248","105%","147,029","100","1,000"
"photo ornament","1","1,174","1,612","137%","93,353","95","2,400"
"phthalate free","1","< 20","Unknown","Unknown","9,253","100","1,300"
"pinback button","1","144","50","35%","100,318","100","0"
"plant lady gift","1","< 20","Unknown","Unknown","31,401","100","0"
"plant lover craft","1","Unknown","Unknown","Unknown","30,343","","0"
"plant mom pin","1","Unknown","Unknown","Unknown","1,054","","0"
"poinsettia","1","333","367","110%","72,899","100","165,000"
"poinsettia decor","1","< 20","Unknown","Unknown","33,406","100","0"
"poinsettia hoop art","1","Unknown","Unknown","Unknown","49","","0"
"poinsettia pattern","1","Unknown","Unknown","Unknown","6,242","","0"
"portrait ornament","1","< 20","Unknown","Unknown","27,408","100","0"
"printable pattern","2","< 20","Unknown","Unknown","324,397","100","0"
"printable pdf","1","40","52","130%","898,229","100","0"
"quiet time craft","1","Unknown","Unknown","Unknown","1,043","","0"
"radial embroidery","1","Unknown","Unknown","Unknown","Unknown","","0"
"radial leaf design","1","Unknown","Unknown","Unknown","Unknown","","0"
"radial leaf fan","1","Unknown","Unknown","Unknown","Unknown","","0"
"radial line design","1","Unknown","Unknown","Unknown","Unknown","","0"
"relaxing decor craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"relaxing needlework","1","Unknown","Unknown","Unknown","Unknown","","0"
"retro button badge","1","Unknown","Unknown","Unknown","1,749","","0"
"retro christmas","1","502","497","99%","726,061","100","1,300"
"ribbon bow pattern","1","< 20","Unknown","Unknown","8,702","100","0"
"rosette embroidery","1","Unknown","Unknown","Unknown","1,098","","0"
"rosette hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"rosette pattern pdf","1","Unknown","Unknown","Unknown","Unknown","","0"
"round embroidery","1","Unknown","Unknown","Unknown","14,520","","0"
"round wreath design","1","Unknown","Unknown","Unknown","8,398","","0"
"scalloped border","1","< 20","Unknown","Unknown","4,766","100","0"
"scandi embroidery","1","< 20","Unknown","Unknown","832","100","0"
"scandi hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"scandi leaf art","1","Unknown","Unknown","Unknown","Unknown","","0"
"scandinavian floral","1","Unknown","Unknown","Unknown","17,305","","0"
"seasonal stitching","1","Unknown","Unknown","Unknown","11,487","","0"
"self care craft","1","Unknown","Unknown","Unknown","18,886","","0"
"self care gift","5","5,843","7,048","121%","182,328","75","4,400"
"simple embroidery","3","< 20","Unknown","Unknown","37,085","100","0"
"simple leaf pattern","1","Unknown","Unknown","Unknown","Unknown","","0"
"simple line art","1","< 20","Unknown","Unknown","23,447","100","0"
"simple needlework","3","Unknown","Unknown","Unknown","1,601","","0"
"sketch embroidery","3","< 20","Unknown","Unknown","46,420","100","0"
"slow decor project","1","Unknown","Unknown","Unknown","Unknown","","0"
"slow stitching","1","< 20","< 20","< 20%","9,687","100","0"
"slow stitching gift","1","Unknown","Unknown","Unknown","1,695","","0"
"small gift for her","1","< 20","Unknown","Unknown","125,768","100","0"
"snow globe","1","966","1,132","117%","39,973","81","60,500"
"snowman decor","1","411","397","97%","178,633","100","4,400"
"snowman embroidery","1","< 20","< 20","< 20%","18,247","100","260"
"snowman hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"snowman snow globe","1","Unknown","Unknown","Unknown","2,247","","0"
"snowy house globe","1","Unknown","Unknown","Unknown","Unknown","","0"
"snowy tree pattern","1","Unknown","Unknown","Unknown","Unknown","","0"
"snowy village art","1","< 20","Unknown","Unknown","13,212","100","20"
"soy candle gift","1","< 20","Unknown","Unknown","290,661","100","0"
"spoke pattern","1","Unknown","Unknown","Unknown","297","","0"
"star embroidery","1","< 20","Unknown","Unknown","31,001","100","0"
"starburst pattern","1","< 20","Unknown","Unknown","4,107","100","720"
"statement hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"statement mandala","1","Unknown","Unknown","Unknown","2,117","","0"
"stitch along set","1","Unknown","Unknown","Unknown","Unknown","","0"
"stitching pattern","1","< 20","Unknown","Unknown","824,817","100","0"
"stocking stuffer","1","6,159","6,782","110%","535,836","97","74,000"
"stress relief","1","641","526","82%","87,393","100","14,800"
"stress relief craft","1","Unknown","Unknown","Unknown","5,520","","0"
"striped leaves","1","Unknown","Unknown","Unknown","4,912","","0"
"sunburst design","1","< 20","Unknown","Unknown","2,853","100","320"
"sunburst pattern","1","Unknown","Unknown","Unknown","2,269","","0"
"symmetrical floral","1","Unknown","Unknown","Unknown","1,236","","0"
"tannenbaum","1","Unknown","Unknown","Unknown","878","","0"
"thanksgiving craft","1","232","241","104%","254,824","100","0"
"tote bag pin","1","Unknown","Unknown","Unknown","4,215","","0"
"toy soldier art","1","Unknown","Unknown","Unknown","2,229","","0"
"tree embroidery","1","28","Unknown","Unknown","77,539","100","0"
"tree hoop art","1","Unknown","Unknown","Unknown","1,975","","0"
"tulip embroidery","1","< 20","Unknown","Unknown","6,425","100","0"
"twig embroidery","1","< 20","Unknown","Unknown","367","100","0"
"unhurried craft","1","Unknown","Unknown","Unknown","Unknown","","0"
"unplugged hobby","1","Unknown","Unknown","Unknown","Unknown","","0"
"unwind hobby","1","Unknown","Unknown","Unknown","Unknown","","0"
"vanilla soy candle","1","< 20","Unknown","Unknown","23,771","100","0"
"vest pin badge","1","Unknown","Unknown","Unknown","Unknown","","0"
"vintage floral","1","< 20","< 20","< 20%","1,346,737","100","0"
"vintage label","1","< 20","Unknown","Unknown","173,493","100","0"
"vintage wash tee","1","Unknown","Unknown","Unknown","17,775","","0"
"wheel hoop art","1","Unknown","Unknown","Unknown","Unknown","","0"
"wheel pattern pdf","1","Unknown","Unknown","Unknown","Unknown","","0"
"whimsical forest art","1","22","< 20","32%","26,950","100","50"
"winter cottage","1","< 20","Unknown","Unknown","31,885","100","480"
"winter craft night","1","Unknown","Unknown","Unknown","Unknown","","0"
"winter craft set","1","Unknown","Unknown","Unknown","Unknown","","0"
"winter flower hoop","1","Unknown","Unknown","Unknown","264","","0"
"winter house art","1","Unknown","Unknown","Unknown","15,563","","0"
"winter penguin","1","Unknown","Unknown","Unknown","25,298","","0"
"winter wonderland","1","108","101","94%","89,213","100","74,000"
"wood lid candle","1","Unknown","Unknown","Unknown","1,525","","0"
"wood photo gift","1","< 20","Unknown","Unknown","82,770","100","0"
"wooden wick candle","1","< 20","< 20","< 20%","6,075","100","27,100"
"wreath embroidery","1","< 20","< 20","25%","29,271","100","0"
"wreath hoop art","1","Unknown","Unknown","Unknown","1,803","","0"
"wreath pdf pattern","1","Unknown","Unknown","Unknown","10,166","","0"
"xmas embroidery","1","< 20","Unknown","Unknown","66,154","100","0"
