"LISTING","TRACKING","GRADE","VISIBILITY SCORE","TOTAL REVENUE","TOTAL VIEWS","SUPERSTAR KEYWORD","TAGS"
"Digital hand drawn leaves embroidery pattern — beginner-friendly design — PDF download for calm stitching","no","A","9%","$0.00",8,"folk flower embroidery pattern","embroidery gift, ornate floral, folk flower design, linen embroidery, vintage floral, decorative pattern, symmetrical floral, cottagecore pattern, digital pattern, beginner design, craft pattern pdf, for beginners, slow stitching"
"Digital floral embroidery pattern — beginner-friendly design — PDF download for 6"" & 8"" hoops","no","A","9%","$0.00",3,"leaf mandala embroidery","leaf embroidery, radial design, calm stitching, slow craft, leaf fan design, striped leaf pattern, star centre mandala, fan embroidery, embroidery designs, hoop art pattern, botanical embroidery, diy embroidery, printable pattern"
"Beginner Botanical Embroidery Design, Floral Hoop Art Pattern (PDF Download)","no","A","9%","$0.00",3,"botanical hoop art pattern","embroidery designs, hand needlework, needlework pattern, beginner embroidery, floral hoop art, beginner friendly, fall hoop art, self care gift, calm stitching, pdf download, digital product, botanical embroidery, whimsical forest art"
"Digital floral embroidery pattern — beginner-friendly design — PDF download for 6"" or 8"" hoops","no","A","9%","$0.00",4,"botanical embroidery pattern","hand embroidery, easy embroidery, folk botanical, leaf and berry, symmetrical design, botanical folk art, berry embroidery, modern botanical, leafy pattern pdf, simple needlework, organic pattern, embroidery template, embroidery drawing"
"Digital geometric embroidery pattern — beginner-friendly hoop design — PDF download for calm stitching","no","A","9%","$0.00",9,"minimalist embroidery pattern","simple embroidery, embroidery designs, minimal embroidery, sunburst pattern, simple line art, modern minimalist, beginner geometric, calm stitching, easy line pattern, diy embroidery, hoop embroidery, embroidery pattern, modern needlework"
"Digital floral embroidery pattern — beginner-friendly design — PDF download for 6"" and 8"" hoops","no","A","9%","$0.00",2,"folk floral embroidery pattern","sketch embroidery, folk floral, tulip embroidery, folk art flowers, scandinavian floral, flower pattern pdf, folk hoop art, nordic embroidery, embroidery hoop, botanical embroidery, craft pattern pdf, easy embroidery pdf, printable pattern"
"Digital geometric embroidery pattern — beginner-friendly design — PDF download for 6” or 8” hoops","no","A","9%","$0.00",9,"geometric embroidery pattern","simple embroidery, hand needlework, sketch embroidery, embroidery drawing, embroidery gift, needlework pattern, simple needlework, geometric pattern, geometric mandala, modern embroidery, mandala embroidery, geometric hoop art, minimalist pattern"
"Digital geometric embroidery pattern — beginner-friendly design — calming wall art PDF download","no","A","9%","$0.00",3,"geometric wall art pattern","embroidery drawing, embroidery gift, geometric rosette, wall art pattern, geometric wall art, modern wall decor, circle pattern, boho wall art, mandala wall art, for beginners, hoop art pattern, instant download, organic pattern"
"Digital geometric embroidery pattern — beginner-friendly design — PDF download for 6"" and 8"" hoops","yes","A","29%","$0.00",24,"geometric wheel pattern","simple embroidery, simple needlework, geometric wheel, radial pattern, modern geometric, wheel embroidery, abstract pattern, line art pattern, geometric design, pdf pattern, slow stitching, stitching pattern, beginner pattern"
"Digital leaf embroidery pattern — beginner-friendly design — PDF download for 6"" and 8"" hoops","no","A","9%","$0.00",3,"leaf embroidery pattern","hand embroidery, embroidery pattern, embroidery hoop, beginner pattern, for beginners, easy embroidery, digital pattern, pdf pattern, leaf embroidery, leaf pattern pdf, botanical pattern, leaf hoop art, nature embroidery"
"Floral Embroidery Pattern, Botanical Wreath Design, Beginner Hoop Art (PDF Download)","no","A","9%","$0.00",6,"botanical wreath pattern","embroidery designs, needlework pattern, simple needlework, floral pattern, botanical embroidery, self care gift, round wreath design, fall wreath diy, flower bud stitching, calm stitching, healing art project, printable pdf, digital product"
"Digital hand-drawn firecracker embroidery pattern — beginner-friendly design — PDF download for calm stitching","no","A","9%","$0.00",5,"starburst embroidery pattern","embroidery designs, sketch embroidery, needlework pattern, starburst pattern, boho embroidery, sunburst design, star embroidery, boho hoop art, celestial pattern, firecracker design, embroidery pattern, embroidery template, digital pattern"
"Leaf Floral Embroidery Pattern – Beginner Friendly PDF Download (6"" & 8"" Hoops)","no","A","9%","$0.00",1,"leaf hoop art pattern","leaf rosette, geometric leaves, modern leaf art, radial leaf design, leaf circle pattern, simple leaf pattern, craft pattern pdf, instant download, printable pattern, embroidery template, stitching pattern, hoop embroidery, modern needlework"
"Digital embroidery pattern — botanical wreath and branch design — beginner-friendly PDF download","no","A","9%","$0.00",4,"wreath embroidery pattern","hand embroidery, hoop art pattern, easy embroidery pdf, botanical embroidery, simple embroidery, beginner design, beginner craft, organic pattern, hand drawn pattern, meditation pattern, stress relief, modern hand pattern, slow stitching"
"Hand Drawn Leaf Mandala Embroidery Pattern – Beginner Friendly PDF Download (6"" & 8"" Hoops)","no","A","9%","$0.00",6,"leaf mandala pattern","hand embroidery, hand needlework, easy embroidery, leaf mandala, mandala pattern, botanical mandala, folk leaf design, nature mandala, scandi embroidery, beginner mandala, hoop embroidery, beginner design, modern needlework"
"Personalized Photo Portrait Ornament, Unique Engraved Wood Gift, Colorful Handmade Holiday, Multiple Shapes","no","A","9%","$0.00",4,"personalized photo ornament","Personalized Gift, photo ornament, engraved ornament, portrait ornament, wood photo gift, family ornament, pet ornament, keepsake gift, heart ornament, circle ornament, christmas ornament, family photo gift, line art portrait"
